Kód,Obec,Okrsek,Voliči v Seznamu,Vydané Obálky,Platné Hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
562980," Bílence
",x,186,113,113,4,1,0,5,5,10,0,0,1,0,0,5,2,4,54,0,1,4,0,2,0,0,15,0
562998," Blatno
",x,434,287,287,36,0,0,11,17,36,4,2,2,0,0,27,0,6,105,0,1,5,0,2,0,0,32,1
563005," Boleboř
",x,223,150,150,20,0,0,7,13,20,0,5,2,0,0,10,0,5,47,0,0,1,0,0,0,2,17,1
563013," Březno
",x,1 097,591,591,32,1,0,20,17,86,6,9,6,1,0,47,1,13,241,0,4,7,0,7,1,2,88,2
563021," Černovice
",x,460,294,293,29,1,1,24,9,20,4,3,5,1,1,18,0,3,126,0,2,2,0,1,0,1,41,1
563048," Domašín
",x,142,63,63,3,0,0,3,3,16,0,1,0,0,0,4,0,5,19,0,0,0,0,2,1,0,5,1
563056," Droužkovice
",x,667,402,399,54,3,1,29,22,35,7,4,12,0,0,22,0,11,157,0,2,4,2,2,0,1,29,2
563064," Hora Svatého Šebestiána
",x,226,129,129,6,0,0,6,3,17,0,1,3,0,0,14,0,2,47,0,0,0,0,1,0,1,27,1
563072," Hrušovany
",x,407,208,207,11,0,0,6,17,28,1,0,0,1,0,6,0,5,97,1,0,2,0,3,1,0,28,0
563081," Chbany
",x,508,264,263,21,1,0,12,6,35,2,3,1,0,0,8,0,3,111,1,1,2,0,0,0,0,54,2
562971," Chomutov
",1,785,473,473,62,0,0,27,24,30,7,4,9,0,0,45,0,32,149,0,0,15,1,4,1,0,63,0
562971," Chomutov
",2,719,408,406,33,1,0,46,17,35,3,3,6,0,3,30,0,12,142,1,0,5,0,1,1,1,65,1
562971," Chomutov
",3,994,556,555,42,0,0,47,20,65,3,3,9,1,1,49,0,27,208,0,0,8,0,6,0,0,64,2
562971," Chomutov
",4,684,330,330,29,0,0,23,10,29,4,6,4,0,1,24,0,2,130,0,1,6,0,0,2,0,59,0
562971," Chomutov
",5,771,313,313,38,0,0,17,17,27,6,4,4,0,0,30,0,8,123,0,0,3,0,3,0,0,32,1
562971," Chomutov
",6,909,442,441,49,1,0,26,15,45,6,7,12,0,1,26,3,15,156,0,2,6,3,1,0,0,67,0
562971," Chomutov
",7,908,498,496,60,4,0,35,30,39,9,3,8,0,1,36,0,17,171,0,1,4,0,3,0,1,70,4
562971," Chomutov
",8,882,468,464,49,0,1,34,35,45,8,0,10,2,2,34,1,25,146,0,0,7,1,4,1,1,57,1
562971," Chomutov
",9,799,419,414,38,2,1,40,23,37,5,5,6,1,0,27,0,16,138,0,0,7,0,7,0,0,59,2
562971," Chomutov
",10,932,463,461,41,0,0,21,26,35,11,3,9,0,0,41,1,14,163,0,2,13,0,4,0,1,76,0
562971," Chomutov
",11,748,443,433,34,1,0,28,27,40,9,5,8,0,1,39,0,27,159,1,0,5,0,10,0,1,34,4
562971," Chomutov
",12,2 517,474,471,65,1,0,37,9,44,9,3,4,0,1,44,0,15,155,1,1,9,1,1,0,0,71,0
562971," Chomutov
",13,1 184,573,569,70,3,0,30,20,49,13,5,11,0,2,54,0,29,178,0,2,4,0,7,2,5,81,4
562971," Chomutov
",14,1 024,576,572,37,0,1,37,10,62,5,2,14,0,0,57,0,9,257,1,0,12,0,1,0,2,63,2
562971," Chomutov
",15,1 193,702,697,84,0,0,39,21,62,5,2,9,0,1,57,0,21,287,0,3,13,1,2,0,0,86,4
562971," Chomutov
",16,969,641,637,73,0,0,47,32,57,8,1,5,0,2,40,0,30,254,0,0,15,0,5,1,0,66,1
562971," Chomutov
",17,856,514,509,37,0,2,43,22,59,13,6,7,0,0,51,0,9,194,0,2,12,0,6,0,1,45,0
562971," Chomutov
",18,770,467,467,44,1,0,26,15,43,16,0,9,1,1,39,0,25,186,0,3,11,0,7,0,1,39,0
562971," Chomutov
",19,788,488,478,57,0,0,35,18,42,5,2,7,0,0,42,1,24,164,0,0,10,0,3,0,3,62,3
562971," Chomutov
",20,888,495,494,38,0,0,37,14,59,2,2,9,1,0,36,0,17,210,0,1,10,0,2,0,0,54,2
562971," Chomutov
",21,930,548,546,60,0,0,30,22,48,9,8,6,0,1,43,1,12,212,3,0,7,1,5,3,1,71,3
562971," Chomutov
",22,854,484,483,43,0,0,35,33,62,12,3,11,1,0,47,0,12,170,0,2,5,0,3,0,0,43,1
562971," Chomutov
",23,946,503,501,51,0,0,30,20,61,1,3,7,1,0,43,0,12,209,0,1,8,0,3,0,0,47,4
562971," Chomutov
",24,1 003,656,649,77,3,0,43,25,65,5,2,12,2,1,52,1,20,265,0,1,7,0,1,1,1,65,0
562971," Chomutov
",25,789,468,460,23,4,0,46,10,54,2,5,3,0,0,30,0,5,205,0,1,5,0,2,0,0,62,3
562971," Chomutov
",26,767,294,290,21,0,0,27,6,28,6,3,7,0,0,26,0,5,105,0,2,6,0,4,2,0,42,0
562971," Chomutov
",27,758,385,384,14,1,0,35,13,33,2,4,14,0,0,35,0,7,173,0,0,5,0,0,0,0,48,0
562971," Chomutov
",28,857,353,349,18,0,0,31,15,38,5,2,4,1,2,16,0,5,152,0,2,3,0,2,0,1,51,1
562971," Chomutov
",29,868,361,361,19,0,0,35,14,47,3,2,1,0,0,12,1,8,128,0,3,6,0,1,0,1,78,2
562971," Chomutov
",30,952,361,361,20,1,0,29,8,54,3,2,1,1,0,20,0,10,136,0,2,4,0,3,1,0,63,3
562971," Chomutov
",31,1 096,605,605,43,1,0,50,21,51,1,7,13,0,1,45,1,15,245,0,3,9,0,7,0,2,89,1
562971," Chomutov
",32,1 115,393,393,13,0,0,32,10,56,5,4,6,0,1,31,2,2,158,0,1,6,1,0,0,4,59,2
562971," Chomutov
",33,1 230,492,486,35,1,0,28,26,40,8,5,10,1,1,29,1,19,194,0,1,6,0,4,0,2,73,2
562971," Chomutov
",34,998,382,380,15,1,0,31,4,42,8,5,10,1,1,15,0,6,144,1,7,8,1,2,2,0,76,0
562971," Chomutov
",35,973,354,354,19,1,1,27,15,38,3,5,5,2,0,16,0,6,147,0,4,2,0,0,1,0,62,0
562971," Chomutov
",36,1 001,429,424,22,2,0,31,8,48,5,3,6,0,1,17,1,4,182,0,4,7,0,1,1,1,75,5
562971," Chomutov
",37,998,411,410,19,0,0,31,8,44,7,3,7,0,0,25,0,6,169,1,2,5,0,1,1,3,77,1
562971," Chomutov
",38,823,333,331,17,1,0,20,13,44,5,3,3,0,0,20,1,3,135,0,1,6,0,2,1,2,53,1
562971," Chomutov
",39,798,337,336,20,0,0,22,7,39,5,3,6,1,0,18,0,10,129,0,1,2,0,2,0,1,67,3
562971," Chomutov
",40,898,350,348,12,1,0,24,9,46,4,4,6,0,2,17,0,2,148,0,4,2,0,2,0,1,62,2
563099," Jirkov
",1,1 899,624,619,61,2,0,55,16,51,7,1,13,2,6,56,0,20,212,0,7,12,0,5,0,2,89,2
563099," Jirkov
",2,1 264,566,564,30,2,0,48,14,55,7,7,5,1,2,47,4,8,230,0,4,6,0,4,0,2,87,1
563099," Jirkov
",3,982,660,658,56,1,0,44,18,73,8,4,3,2,7,55,0,35,268,1,2,13,0,5,0,4,59,0
563099," Jirkov
",4,1 096,584,582,42,1,0,37,12,53,9,4,13,0,13,49,0,11,242,0,1,9,0,9,1,1,73,2
563099," Jirkov
",5,1 087,496,495,26,3,0,35,8,57,6,2,5,0,4,21,0,6,200,0,4,5,0,4,0,2,106,1
563099," Jirkov
",6,1 037,528,522,43,1,0,27,14,75,4,3,7,0,3,41,0,2,186,0,2,7,0,1,1,1,102,2
563099," Jirkov
",7,1 357,661,659,66,1,0,49,16,77,5,6,11,4,3,47,0,9,227,0,2,11,0,5,0,3,116,1
563099," Jirkov
",8,1 466,455,452,40,0,0,32,17,49,7,7,12,1,2,28,0,16,156,1,0,11,0,2,2,3,63,3
563099," Jirkov
",9,430,300,298,48,0,0,15,10,26,9,2,7,0,0,31,0,26,85,0,2,1,0,0,0,0,34,2
563099," Jirkov
",10,1 005,396,396,30,1,0,20,11,38,11,4,13,1,1,26,0,6,137,1,2,4,0,5,0,3,79,3
563099," Jirkov
",11,1 246,471,471,29,0,0,39,8,39,13,5,12,2,5,37,0,12,172,0,4,2,0,1,0,0,91,0
563099," Jirkov
",12,1 584,556,555,28,4,0,37,18,51,11,8,8,0,3,35,0,7,218,1,5,12,0,1,0,2,101,5
563099," Jirkov
",13,1 006,456,450,40,0,0,32,9,42,3,9,15,0,3,29,0,6,167,0,2,4,0,2,0,3,82,2
563102," Kadaň
",1,1 121,424,424,47,0,0,23,16,33,5,1,4,0,1,41,0,10,180,1,2,3,0,2,0,1,54,0
563102," Kadaň
",2,1 256,448,448,38,3,2,32,11,38,1,10,2,1,1,36,1,11,182,0,2,5,0,1,0,3,66,2
563102," Kadaň
",3,1 180,455,453,29,0,0,20,7,35,3,10,5,0,0,36,0,8,222,0,2,4,0,1,0,1,67,3
563102," Kadaň
",4,901,459,458,42,0,2,32,8,41,2,5,5,0,1,43,0,8,211,2,3,2,1,3,0,2,43,2
563102," Kadaň
",5,1 053,580,579,41,0,0,53,14,52,3,7,4,0,1,53,0,21,252,0,1,13,0,1,0,2,58,3
563102," Kadaň
",6,1 119,593,589,50,1,0,43,14,44,3,11,8,0,2,50,0,13,250,0,1,8,0,4,1,2,82,2
563102," Kadaň
",7,1 173,656,651,84,0,1,42,18,43,6,8,4,0,3,57,1,23,254,0,0,13,0,8,1,2,83,0
563102," Kadaň
",8,976,541,535,54,0,0,34,9,46,7,8,2,0,0,60,0,14,219,0,1,9,0,2,1,1,66,2
563102," Kadaň
",9,1 046,573,573,89,0,1,47,20,34,10,6,7,0,2,63,0,19,210,3,1,5,0,5,0,2,48,1
563102," Kadaň
",10,1 089,607,601,94,2,1,25,26,32,9,6,8,0,1,63,1,22,223,1,4,5,0,4,0,0,72,2
563102," Kadaň
",11,1 535,653,646,92,0,1,31,16,34,9,4,12,1,2,72,0,36,234,1,0,14,1,6,0,1,77,2
563102," Kadaň
",12,1 454,820,816,109,2,0,65,31,56,16,9,3,1,0,70,0,24,313,0,3,16,0,6,1,2,86,3
563111," Kalek
",x,214,124,124,14,0,0,10,11,11,2,3,3,0,0,13,1,2,18,0,1,2,0,1,0,2,30,0
563129," Klášterec nad Ohří
",1,1 625,759,758,103,3,0,38,22,80,18,5,12,0,1,77,1,28,272,0,0,11,0,1,0,5,78,3
563129," Klášterec nad Ohří
",2,1 012,406,401,31,8,0,33,8,31,5,2,10,1,1,34,2,5,166,0,1,2,0,4,1,0,55,1
563129," Klášterec nad Ohří
",3,987,457,454,25,3,0,26,9,52,4,7,3,1,0,39,0,12,188,1,2,9,0,1,0,4,67,1
563129," Klášterec nad Ohří
",4,1 069,452,445,41,0,0,34,5,50,7,5,7,2,1,37,0,8,188,0,1,3,0,2,0,4,47,3
563129," Klášterec nad Ohří
",5,1 109,575,572,73,1,0,33,13,66,6,0,9,0,0,50,0,10,230,0,2,2,0,5,2,1,67,2
563129," Klášterec nad Ohří
",6,1 171,609,604,76,2,1,45,15,62,7,5,7,0,1,47,2,15,249,1,3,6,1,1,1,2,54,1
563129," Klášterec nad Ohří
",7,954,421,418,21,3,0,32,13,57,6,2,4,2,0,39,0,19,166,0,0,3,0,2,1,0,46,2
563129," Klášterec nad Ohří
",8,1 052,527,526,49,5,1,28,11,53,7,8,6,0,0,49,0,12,209,1,2,8,0,1,2,0,71,3
563129," Klášterec nad Ohří
",9,1 045,509,505,39,5,2,24,11,40,12,9,4,0,0,50,1,15,199,1,2,10,0,6,0,2,72,1
563129," Klášterec nad Ohří
",10,1 060,512,505,25,2,0,38,13,56,6,5,3,0,0,27,0,8,237,0,0,6,0,3,0,0,75,1
563129," Klášterec nad Ohří
",11,869,412,411,37,1,0,17,11,29,9,8,4,1,1,48,1,9,165,0,2,7,0,2,2,2,54,1
563137," Kovářská
",x,822,388,387,22,0,0,31,11,40,4,6,3,6,0,22,0,7,163,0,0,4,0,2,0,1,65,0
563315," Kryštofovy Hamry
",x,110,80,80,4,0,0,3,6,9,0,1,1,0,0,7,0,1,40,0,1,0,0,0,0,0,7,0
563161," Křimov
",x,303,145,144,16,2,0,9,6,14,4,4,0,1,0,8,0,1,53,0,0,0,0,2,0,2,21,1
563188," Libědice
",x,216,150,149,11,1,0,17,4,25,2,4,2,0,0,9,0,5,44,0,0,3,0,0,0,4,18,0
546518," Loučná pod Klínovcem
",x,105,70,68,21,0,0,0,4,2,0,0,1,0,0,6,0,6,21,0,0,3,0,1,0,0,3,0
563200," Málkov
",x,685,442,438,56,0,1,25,14,57,9,7,5,2,3,24,0,8,156,0,3,8,0,2,1,1,55,1
563218," Mašťov
",x,481,284,284,12,0,0,24,6,44,4,4,0,2,0,15,0,7,122,0,2,6,0,1,0,1,28,6
563226," Měděnec
",x,137,85,85,14,0,0,1,7,11,0,0,0,0,0,2,0,4,32,0,0,2,0,0,0,1,11,0
563242," Místo
",x,364,244,244,6,0,0,22,13,20,2,2,1,1,0,29,1,5,106,0,0,3,0,0,0,0,31,2
546160," Nezabylice
",x,176,121,121,5,0,0,6,2,30,2,0,1,0,0,8,0,3,47,0,0,1,0,0,0,0,14,2
563269," Okounov
",x,289,188,186,17,2,0,6,3,22,4,2,2,0,2,8,0,7,94,0,0,0,0,2,0,1,14,0
563277," Otvice
",x,546,356,356,18,1,0,20,13,33,1,3,2,0,0,23,0,15,136,0,2,12,0,5,1,1,70,0
563285," Perštejn
",x,919,585,581,68,2,1,35,26,51,11,2,5,1,2,52,0,28,218,1,0,5,0,6,2,2,60,3
546062," Pesvice
",x,107,76,76,6,0,0,3,2,9,1,1,1,0,1,6,1,2,22,0,0,1,0,1,1,0,17,1
563293," Pětipsy
",x,170,92,92,7,0,0,3,2,6,1,3,0,0,0,4,0,2,40,0,4,0,0,0,1,0,19,0
546071," Račetice
",x,330,210,210,12,0,0,9,3,15,1,0,1,0,0,13,0,9,114,0,0,2,0,1,3,0,26,1
563323," Radonice
",x,931,490,485,17,0,0,32,16,94,7,11,1,0,0,34,0,4,220,1,1,4,0,1,0,1,36,5
563331," Rokle
",x,225,122,122,9,0,0,10,2,13,0,1,4,0,1,10,0,1,57,1,0,0,0,0,0,0,10,3
563340," Spořice
",x,1 156,725,723,81,0,0,45,38,57,13,3,14,0,4,71,0,18,254,1,1,6,0,18,2,2,93,2
563358," Strupčice
",x,715,473,470,32,2,0,36,25,40,1,1,8,0,0,21,0,5,200,0,3,11,0,2,2,3,78,0
563382," Údlice
",x,985,638,633,76,0,0,25,28,64,13,5,10,0,1,52,1,15,243,0,1,12,0,5,0,3,76,3
563404," Vejprty
",1,955,276,257,28,1,0,22,8,13,4,3,2,1,1,23,2,11,85,0,0,11,1,1,0,0,39,1
563404," Vejprty
",2,702,274,272,29,0,0,23,5,28,2,2,0,1,0,23,0,4,119,0,1,4,0,0,0,0,29,2
563404," Vejprty
",3,708,311,309,12,2,0,31,6,58,0,4,2,0,0,11,1,4,143,0,1,1,0,0,0,0,33,0
563412," Veliká Ves
",x,245,127,126,8,0,0,7,6,16,0,1,0,1,0,11,0,0,60,1,2,0,0,0,0,1,12,0
563439," Vilémov
",x,481,265,263,10,2,0,14,2,48,2,5,0,0,0,12,0,2,131,0,0,1,0,1,1,0,31,1
563463," Vrskmaň
",x,231,141,141,3,0,0,9,4,20,7,3,3,0,0,6,0,2,51,0,4,2,1,1,0,1,22,2
563471," Všehrdy
",x,399,324,318,20,2,0,7,2,106,6,6,5,1,0,27,1,6,69,1,2,1,0,4,7,3,36,6
563480," Všestudy
",x,148,102,102,3,0,0,2,5,3,1,4,1,0,0,4,0,2,55,0,0,2,2,0,0,2,16,0
563498," Výsluní
",x,221,135,135,11,0,0,5,4,22,2,0,8,0,0,16,0,7,43,0,0,3,0,0,0,0,13,1
563501," Vysoká Pec
",x,875,621,615,59,2,0,33,32,44,7,9,9,0,6,60,0,21,239,0,2,8,0,6,0,1,76,1
